review_id,sentence_id,sentence_text,target,category,polarity,from,to
196,196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,مستوى الخدمه,SERVICE#GENERAL,positive,37,49
196,196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,الاستقبال,SERVICE#GENERAL,positive,82,91
196,196:1,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ,مركز اللياقه البدنيه,FACILITIES#GENERAL,positive,6,26
196,196:1,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ,الفندق,LOCATION#GENERAL,positive,33,39
1700,1700:0,اقامة هادئة,اقامة,HOTEL#COMFORT,positive,0,5
1700,1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا,لفندق,HOTEL#GENERAL,positive,24,29
1700,1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا,الهدوء,HOTEL#COMFORT,positive,69,75
1700,1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا,مطاعمه,FACILITIES#GENERAL,positive,124,130
1700,1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,العاملين,SERVICE#GENERAL,positive,14,22
1700,1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,العاملين,SERVICE#GENERAL,positive,179,187
1700,1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,الفندق,HOTEL#QUALITY,positive,193,199
2278,2278:0,رحلة عمل سأظل أتذكر هذا الفندق لسنوات عديدة، فقد كانت هناك صراصير في الغرفة،,الغرفة,ROOMS#CLEANLINESS,negative,69,75
2278,2278:1,(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك.,موظفي الفندق,SERVICE#GENERAL,positive,76,88
2278,2278:1,(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك.,المرافق,FACILITIES#GENERAL,negative,143,150
2278,2278:2,والنوافذ كان بها طبقة واحدة من الزجاج ولذلك كان صوت أبواق السيارات مزعجا حقا طوال الليل.,النوافذ,ROOMS_AMENITIES#COMFORT,negative,1,8
2278,2278:3,ولن أنصح أحد بهذا الفندق لا سيما إذا كان يصطحب أطفالا.,الفندق,HOTEL#GENERAL,negative,18,24
2278,2278:4,وبالنسبة لرحلات العمل القصيرة، التي لا تستدعي إجراءات خاصة، لا بأس بهذا الفندق، ولكن ليس أكثر من ذلك!,الفندق,HOTEL#GENERAL,neutral,72,78
1068,1068:0,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة,الفندق,HOTEL#GENERAL,neutral,6,12
1068,1068:1,و هي  1:-في صراصير بالحمام مش كثير بي بكره أكيد بكثرة,الحمام,ROOMS#CLEANLINESS,negative,20,26
1068,1068:2,2:- الماء الساخن بالحمام ساعات تبقى باردة جدا و ساعات تبقى دافنة,الماء,FACILITIES#GENERAL,negative,4,9
1068,1068:3,3:- التليفزيون اللي بالغرفة 3 أو 4 قنوات بس اللي شغالين,التليفزيون,ROOMS_AMENITIES#QUALITY,negative,4,14
1068,1068:4,4:- أسعار المشروبات الساخنة مثل الشاي و النسكافية غالي جداً,أسعار المشروبات,FOOD_DRINKS#PRICES,negative,4,19
1068,1068:5,5:- أعتقد إن أسعاره غالية قليلا,أسعاره,HOTEL#PRICES,negative,13,19
1068,1068:6,6:- لا يوجد انترنت,انترنت,FACILITIES#GENERAL,negative,12,18
1210,1210:0,اقامه ممتعه,اقامه,HOTEL#GENERAL,positive,0,5
1210,1210:1,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت,الخدمه,SERVICE#GENERAL,positive,0,6
1210,1210:1,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت,الاكل,FOOD_DRINKS#STYLE_OPTIONS,positive,14,19
1210,1210:2,شاطئ البحر خرافي مع بحيرة صناعية واسماك حولك ورمال ناعمة.,شاطئ البحر,FACILITIES#DESIGN_FEATURES,positive,0,10
1210,1210:3,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .,بار,FACILITIES#GENERAL,positive,0,3
1210,1210:3,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .,ملاعب,FACILITIES#GENERAL,positive,32,37
1210,1210:3,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .,الموظفين,SERVICE#GENERAL,positive,63,71
1210,1210:4,الغرف متوسطة ولكن مريحة . الحديقة متوسط و التشجير ضعيف  القيمه مقابل ما تحصل عليه هي صفقه رابحه و ممتعه,الغرف,ROOMS#COMFORT,positive,0,5
1705,1705:1,"الغرف رائعة, الكثير من مساحة كبيرة بحجم ملكي, للتحرك اختر من مقاعد مريحة للجلوس.",الغرف,ROOMS#DESIGN_FEATURES,positive,0,5
1705,1705:2,"لقد تم تصوير فيلم قصير هنا, كانت الغرفة في الطابق الأرضي خلف مكتب الاستقبال تفتح على الفناء الذي كان لطيفا أن الأبواب مفتوحة للخروج, الجلوس في الشمس.",الغرفة,ROOMS#DESIGN_FEATURES,positive,33,39
1705,1705:2,"لقد تم تصوير فيلم قصير هنا, كانت الغرفة في الطابق الأرضي خلف مكتب الاستقبال تفتح على الفناء الذي كان لطيفا أن الأبواب مفتوحة للخروج, الجلوس في الشمس.",الفناء,FACILITIES#GENERAL,positive,85,91
1705,1705:3,موقع رائع من المطاعم والمقاهي. ساعود هنا مرة أخرى أوصي به لأي شخص.,موقع,LOCATION#GENERAL,positive,0,4
941,941:0,فندق ممتاز,فندق,HOTEL#GENERAL,positive,0,4
941,941:1,قضيت الفترة من 24-28/4 هناك وكانت الزيارة الثالثة المكان جميل جدا,المكان,LOCATION#GENERAL,positive,50,56
941,941:2,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا,موظفين,SERVICE#GENERAL,positive,3,9
941,941:2,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا,خدمة,SERVICE#GENERAL,positive,19,23
1749,1749:0,نظافة وحداثة اثاث الغرفة,نظافة,HOTEL#CLEANLINESS,positive,0,5
1749,1749:0,نظافة وحداثة اثاث الغرفة,اثاث,ROOMS#QUALITY,positive,13,17
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,انترنت,FACILITIES#GENERAL,positive,0,6
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,للمحطة,FACILITIES#GENERAL,positive,22,28
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,للسوق,FACILITIES#GENERAL,positive,41,46
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,حافلات,FACILITIES#GENERAL,positive,75,81
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,تاكسي,FACILITIES#GENERAL,positive,118,123
1749,1749:1,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق,المحطة,FACILITIES#GENERAL,positive,146,152
1749,1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,ماركت,FACILITIES#GENERAL,positive,8,13
1749,1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,اماكن سياحية,FACILITIES#GENERAL,positive,15,27
1749,1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,موظفي,SERVICE#GENERAL,positive,35,40
1749,1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,ثلاحة,ROOMS_AMENITIES#GENERAL,negative,67,72
1749,1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,قنوات تلفزيون عربية,ROOMS_AMENITIES#GENERAL,negative,83,102
1017,1017:0,لقد كرهناه ولن نعود أبداً الاستوديوهات بمقاس السرير فقط،,الاستوديوهات,ROOMS#DESIGN_FEATURES,negative,26,38
1017,1017:1,، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل.,الحمام,ROOMS#MISCELLANEOUS,negative,3,9
1017,1017:1,، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل.,المرحاض,ROOMS#DESIGN_FEATURES,negative,94,101
1017,1017:2,لم يكن المكيف يعمل (27 درجة مئوية في الخارج) كان المصعد يعمل فقط في اليوم الأول وليس في الأيام الأربعة التالية.,المكيف,ROOMS_AMENITIES#MISCELLANEOUS,negative,7,13
1017,1017:2,لم يكن المكيف يعمل (27 درجة مئوية في الخارج) كان المصعد يعمل فقط في اليوم الأول وليس في الأيام الأربعة التالية.,المصعد,FACILITIES#MISCELLANEOUS,negative,49,55
910,910:0,فندق رائع بكل المقاييس بل هو افضل فنادق المدينة المنورة على الاطلاق,فندق,HOTEL#GENERAL,positive,0,4
910,910:2,ثانيا الاستقبال من الموظفين رائع و الاجراءات تنتهى بسرعة ..,الموظفين,ROOMS#QUALITY,positive,19,27
910,910:3,الغرفة مميزة و رائعة ..,الغرفة,ROOMS#QUALITY,positive,0,6
910,910:4,الخدمة جيدة جدا و سريعة ..,الخدمة,SERVICE#GENERAL,positive,0,6
910,910:5,الموقع للفندق مميز و الشىء الرائع انه بجوار باب 25 المخصص للحريم و المؤدى للروضة للحريم...,الموقع,LOCATION#GENERAL,positive,0,6
778,778:0,كانت فتره الاقامه ممتعه ..,الاقامه,HOTEL#COMFORT,positive,10,17
778,778:1,الفندق قريب جدا من الحرم على بعد خطوات ليس اكتر ...,الحرم,LOCATION#GENERAL,positive,19,24
778,778:2,الموظفين اكتر من رائعين و يلبون الطلبات فى الوقت المخصص لها ....,الموظفين,SERVICE#GENERAL,positive,0,8
778,778:3,اتمنى المزيد من التقدم للعاملين فى هدا الفندق الرائع و مزيد من التقدم ان شاء الله. و حتما سوف اعود ان شاء الله.,للعاملين فى هدا الفندق,SERVICE#GENERAL,positive,23,45
2210,2210:0,رخيص و نظيف,نظيف,HOTEL#PRICES,positive,7,11
2210,2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,فندق,HOTEL#PRICES,positive,4,8
2210,2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,تلفاز,ROOMS_AMENITIES#QUALITY,negative,37,42
2210,2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,مكيف هواء,ROOMS_AMENITIES#QUALITY,neutral,108,117
2210,2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,خدمة غرف,SERVICE#GENERAL,negative,128,136
2210,2210:2,لذا إذا كنت تبحث عن مكان رخيص بالقرب من مركز البلدة و نظيف أيضاً، هذا هو مكانك. إذا كنت تحب بعض الرفاهية أثناء إقامتك فبكل تأكيد ستخيب آمالك جداً هناك.,مركز البلدة,LOCATION#GENERAL,positive,40,51
197,197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,فندق,HOTEL#GENERAL,positive,0,4
197,197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,الخدمة,SERVICE#GENERAL,negative,15,21
197,197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,فندق,HOTEL#GENERAL,positive,28,32
197,197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,الخدمة,SERVICE#GENERAL,negative,86,92
197,197:1,حيث لاحظت ان هنالك نقص بالموظفين فقد قضينا ننتظر دورنا في الاستقبال نصف ساعة وكان هنالك موظف استقبال واحد فقط,موظفين,SERVICE#GENERAL,negative,26,32
197,197:2,وفي المطعم لا يتم الاعتناء بنظافة الأطباق وجدت بعض البقع على طبقي,المطعم,FACILITIES#CLEANLINESS,negative,4,10
828,828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",إقامة,HOTEL#GENERAL,positive,66,71
828,828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",الفندق,HOTEL#GENERAL,positive,95,101
828,828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",الفندق,HOTEL#GENERAL,positive,154,160
828,828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,كثرة الزائرين,HOTEL#GENERAL,positive,1,14
828,828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,المأكولات,FOOD_DRINKS#QUALITY,positive,32,41
828,828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,خدمة الروم سيرفس,SERVICE#GENERAL,positive,93,109
276,276:0,زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،,الفندق,HOTEL#COMFORT,positive,35,41
276,276:0,زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،,المطار,LOCATION#GENERAL,positive,90,96
276,276:1,الموسيقى صاخبة جدا من الحادية عشرة مساءًا حتى بعد الساعة الثالثة صباحًا.,الموسيقى,HOTEL#COMFORT,negative,0,8
276,276:2,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.,الإفطار,FOOD_DRINKS#QUALITY,neutral,4,11
276,276:2,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.,الموظفون,SERVICE#GENERAL,neutral,49,57
887,887:0,الفندق يقع في آخر ابراج البيت يعني قريب من الحرم والخدمات,الحرم,LOCATION#GENERAL,positive,43,48
887,887:1,وعلى الرغم من حداثته حيث انه لم يفتتح الا في رمضان 2012 فقد كان الاثاث غير نظيف نوعا ما ( المفارش - السجاد ) ودورة المياه صغيره جدا,الاثاث,ROOMS_AMENITIES#CLEANLINESS,negative,64,70
887,887:1,وعلى الرغم من حداثته حيث انه لم يفتتح الا في رمضان 2012 فقد كان الاثاث غير نظيف نوعا ما ( المفارش - السجاد ) ودورة المياه صغيره جدا,دورة المياه,FACILITIES#DESIGN_FEATURES,negative,110,121
887,887:2,يعيبه قلة المصاعد,المصاعد,FACILITIES#GENERAL,negative,10,17
1202,1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,مكان,LOCATION#GENERAL,positive,0,4
1202,1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,خدمة,SERVICE#GENERAL,positive,17,21
1202,1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,معاملة,SERVICE#GENERAL,positive,30,36
1202,1202:1,ذهبت انا ومجموعة من أصدقائي الي فندق كورال بيتش كل منا معه أسرته واشهد بأننا قد قضينا وقت ممتع وسعيد والكل تفاني في خدمتنا ولا توجد تفرقة بين مصري وأجنبي وهذا ما أشعرني بالسعادة البالغة,خدمتنا,HOTEL#GENERAL,positive,116,122
1202,1202:2,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة,العاملين بالفندق,SERVICE#GENERAL,positive,18,34
1202,1202:2,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة,المعاملة,SERVICE#GENERAL,positive,43,51
872,872:0,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً,مطعم,FACILITIES#GENERAL,negative,60,64
872,872:0,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً,غرفة المزدوجة,ROOMS#PRICES,negative,101,114
872,872:0,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً,بوفيه الإفطار,FOOD_DRINKS#PRICES,negative,117,130
872,872:1,الغرفة رائعه الإضاءة و الديكور و العزل و صغيرة نسبياً,الغرفة,ROOMS#GENERAL,positive,0,6
872,872:2,الفندق قريب جداً من المسجد النبوي حوالي خمس دقائق مشي في الساحة الأمامية لايوجد أماكن واسعه للجلوس والحديث,الفندق,LOCATION#GENERAL,positive,0,6
2170,2170:0,لن أفي هذا الفندق حقه حتى لو قلت إنه مريع!,الفندق,HOTEL#GENERAL,negative,11,17
2170,2170:1,هذا الفندق هو بيت دعارة. إنه مكان للبغايا والقوادين، ولا يليق أبداً بالعائلات والأزواج.,الفندق,HOTEL#GENERAL,negative,4,10
2170,2170:2,الطابق الأرضي ملئ بالبغايا طيلة أيام الأسبوع وعلى مدار الساعة، والحمامات قذرة، والضوضاء ليلاً مزعجة جداً، وأنا أعدكم بأنكم لن تغفو ولو لثوانى.,الطابق الأرضي,HOTEL#GENERAL,negative,0,13
