sentence_id,text,aspect_term,term_polarity,from,to,categories,category_polarities,review_id
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,58,66,[None],[None],
1030,Also kinda loud when the fan was running.,fan,negative,25,28,[None],[None],
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,31,54,[None],[None],
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,76,84,[None],[None],
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,137,160,[None],[None],
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,43,52,[None],[None],
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,70,77,[None],[None],
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,122,129,[None],[None],
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,0,7,[None],[None],
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,27,38,[None],[None],
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,49,55,[None],[None],
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,28,48,[None],[None],
1193,"Speaking of the browser, it too has problems.",browser,negative,16,23,[None],[None],
147,The keyboard is too slick.,keyboard,negative,4,12,[None],[None],
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,46,56,[None],[None],
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,10,17,[None],[None],
2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,27,34,[None],[None],
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,12,20,[None],[None],
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,120,136,[None],[None],
2492,Amazing Quality!,Quality,positive,8,15,[None],[None],
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,48,54,[None],[None],
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,71,76,[None],[None],
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,27,35,[None],[None],
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,41,64,[None],[None],
915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,32,43,[None],[None],
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,4,10,[None],[None],
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,30,37,[None],[None],
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,92,100,[None],[None],
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,62,72,[None],[None],
803,It rarely works and when it does it's incredibly slow.,works,negative,10,15,[None],[None],
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,66,75,[None],[None],
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,95,109,[None],[None],
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,44,60,[None],[None],
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,84,88,[None],[None],
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,23,31,[None],[None],
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,65,75,[None],[None],
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,64,72,[None],[None],
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,25,42,[None],[None],
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,16,22,[None],[None],
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,98,103,[None],[None],
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,75,85,[None],[None],
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,92,119,[None],[None],
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,93,110,[None],[None],
900,"Then, within 5 months, the charger crapped out on me.",charger,negative,27,34,[None],[None],
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,88,93,[None],[None],
446,I love the glass touchpad.,glass touchpad,positive,11,25,[None],[None],
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,66,76,[None],[None],
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,81,93,[None],[None],
2752,I am using the external speaker- sound is good.,external speaker,positive,15,31,[None],[None],
2752,I am using the external speaker- sound is good.,sound,positive,33,38,[None],[None],
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,18,30,[None],[None],
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,37,45,[None],[None],
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,36,44,[None],[None],
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,30,42,[None],[None],
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,72,90,[None],[None],
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,25,28,[None],[None],
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,80,91,[None],[None],
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,32,39,[None],[None],
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,12,15,[None],[None],
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,28,35,[None],[None],
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,60,76,[None],[None],
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,99,109,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,17,29,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,180,192,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,142,148,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,153,166,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,48,60,[None],[None],
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,65,77,[None],[None],
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,29,43,[None],[None],
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,17,45,[None],[None],
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,39,55,[None],[None],
1718,I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,67,70,[None],[None],
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,4,16,[None],[None],
3027,Enabling the battery timer is useless.,battery timer,negative,13,26,[None],[None],
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,12,[None],[None],
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,64,97,[None],[None],
1110,Going to bring it to service today.,service,neutral,21,28,[None],[None],
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,29,53,[None],[None],
488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,20,29,[None],[None],
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,22,48,[None],[None],
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,93,98,[None],[None],
2985,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,24,29,[None],[None],
1573,"It is always reliable, never bugged and responds well.",responds,positive,40,48,[None],[None],
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,63,74,[None],[None],
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,114,125,[None],[None],
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,37,45,[None],[None],
1347,they had to replace the motherboard in April,motherboard,negative,24,35,[None],[None],
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,110,113,[None],[None],
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,31,56,[None],[None],
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,170,176,[None],[None],
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,217,219,[None],[None],
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,7,16,[None],[None],
2864,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,49,54,[None],[None],
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0,8,[None],[None],
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0,26,[None],[None],
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,9,23,[None],[None],
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,64,67,[None],[None],
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,97,109,[None],[None],
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,50,65,[None],[None],
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,29,35,[None],[None],
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,58,78,[None],[None],
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,58,71,[None],[None],
493,It weighed like seven pounds or something like that.,weighed,neutral,3,10,[None],[None],
493,It weighed like seven pounds or something like that.,seven pounds,neutral,16,28,[None],[None],
902,"2 months later, the battery went.",battery,negative,20,27,[None],[None],
2433,You may need to special order a bag.,bag,neutral,32,35,[None],[None],
1675,It's color is even cool.,color,positive,5,10,[None],[None],
609,keys are all in weird places and is way too large for the way it is designed.,keys,negative,0,4,[None],[None],
609,keys are all in weird places and is way too large for the way it is designed.,designed,negative,68,76,[None],[None],
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,95,100,[None],[None],
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,102,107,[None],[None],
2335,The keyboard feels good and I type just fine on it.,keyboard,positive,4,12,[None],[None],
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,76,84,[None],[None],
1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,62,69,[None],[None],
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,26,31,[None],[None],
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,33,40,[None],[None],
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,128,140,[None],[None],
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,133,143,[None],[None],
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,152,163,[None],[None],
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,58,63,[None],[None],
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,65,85,[None],[None],
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,91,100,[None],[None],
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,71,79,[None],[None],
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,84,88,[None],[None],
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,118,146,[None],[None],
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,19,28,[None],[None],
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,70,73,[None],[None],
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,75,83,[None],[None],
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,36,39,[None],[None],
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,92,96,[None],[None],
3006,lots of preloaded software.,preloaded software,positive,8,26,[None],[None],
2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,16,22,[None],[None],
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,51,59,[None],[None],
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,92,98,[None],[None],
1686,Another thing I might add is the battery life is excellent.,battery life,positive,33,45,[None],[None],
2091,"One drawback, I wish the keys were backlit.",keys,negative,25,29,[None],[None],
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,200,208,[None],[None],
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,11,17,[None],[None],
2938,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,42,47,[None],[None],
2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,45,53,[None],[None],
2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,100,108,[None],[None],
526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,47,57,[None],[None],
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,46,70,[None],[None],
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,61,67,[None],[None],
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,83,89,[None],[None],
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,110,125,[None],[None],
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,4,13,[None],[None],
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,44,69,[None],[None],
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,94,102,[None],[None],
1553,"Great battery, speed, display.",battery,positive,6,13,[None],[None],
1553,"Great battery, speed, display.",speed,positive,15,20,[None],[None],
1553,"Great battery, speed, display.",display,positive,22,29,[None],[None],
2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,4,12,[None],[None],
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,29,41,[None],[None],
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,50,61,[None],[None],
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,89,95,[None],[None],
1654,"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,5,17,[None],[None],
1654,"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,positive,63,79,[None],[None],
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,35,45,[None],[None],
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,47,57,[None],[None],
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,59,73,[None],[None],
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,75,88,[None],[None],
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,21,36,[None],[None],
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,41,53,[None],[None],
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,269,272,[None],[None],
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,277,280,[None],[None],
104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,53,66,[None],[None],
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,6,11,[None],[None],
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,22,31,[None],[None],
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,41,53,[None],[None],
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,72,80,[None],[None],
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,93,105,[None],[None],
2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,115,123,[None],[None],
2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,85,90,[None],[None],
2124,Mostly I love the drag and drop feature.,drag and drop feature,positive,18,39,[None],[None],
260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,26,32,[None],[None],
1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,46,55,[None],[None],
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,37,54,[None],[None],
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,84,89,[None],[None],
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,91,101,[None],[None],
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,107,113,[None],[None],
386,The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,4,10,[None],[None],
386,The screen is very large and crystal clear with amazing colors and resolution.,colors,positive,56,62,[None],[None],
386,The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,67,77,[None],[None],
1357,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,62,69,[None],[None],
2605,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,13,19,[None],[None],
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,0,4,[None],[None],
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,neutral,76,92,[None],[None],
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,23,40,[None],[None],
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,negative,74,82,[None],[None],
942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,82,87,[None],[None],
311,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,4,11,[None],[None],
13,The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive,4,23,[None],[None],
13,The AMD Turin processor seems to always perform so much better than Intel.,Intel,negative,68,73,[None],[None],
1852,  After that the said it was under warranty.,warranty,neutral,35,43,[None],[None],
2708,The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,4,14,[None],[None],
